Time, Acc X, Acc Y, Acc Z, Mag X, Mag Y, Mag Z, Gyr X, Gyr Y, Gyr Z, Press
0.000000, -2.689258, 3.024219, -0.583789, -80.800003, 40.400002, -55.799999, -250.129776, -250.129776, -250.122131, 988.219971
0.150000, -3.292187, 2.756250, -0.909180, -21.500000, 6.700000, -85.500000, -250.129776, -250.129776, -250.122131, 988.219971
0.300000, 4.632031, -5.732617, 17.216993, -58.500000, 48.299999, -103.800003, -124.496185, 86.473282, -30.648855, 988.219971
0.450000, -5.292383, 3.005078, 8.852539, -47.000000, 51.000000, -103.599998, -31.175573, -25.656488, -65.580154, 988.219971
0.600000, -6.536523, 0.143555, 19.379883, -47.299999, 58.400002, -97.699997, -70.305344, -154.129776, -75.656487, 988.219971
0.750000, 3.387891, -8.737696, 11.608789, -70.400002, 65.900002, -90.599998, -139.549622, -83.755722, -14.442748, 988.219971
0.900000, -0.143555, 0.622070, -0.880469, -58.099998, 72.099998, -50.799999, -250.129776, 106.160309, 248.412216, 988.229980
1.050000, -0.114844, 0.593359, -0.947461, -55.599998, 27.000000, -31.400000, -250.129776, 118.564888, 209.259537, 988.229980
1.200000, 4.498047, 20.155079, -14.881836, -88.500000, 7.600000, -67.800003, -250.129776, 121.961830, 87.839691, 988.229980
1.350000, 5.177539, 9.599024, 5.368946, -67.000000, 10.400000, -89.500000, -208.977097, -9.358779, 54.427483, 988.229980
1.500000, -0.890039, 14.738281, 8.450586, -54.900002, 24.400000, -96.699997, -99.931297, -2.206107, -78.862595, 988.229980
1.650000, 0.172266, 14.393750, 12.814649, -66.199997, 28.200001, -96.699997, 25.229008, -125.160309, 100.419846, 988.229980
1.800000, 15.609180, 4.756445, 16.623632, -85.900002, 42.900002, -80.400002, -250.129776, -172.572525, -250.129776, 988.229980
1.950000, -0.679492, 0.832617, -1.215430, -53.599998, 70.000000, -45.200001, -250.129776, 248.267181, -250.129776, 988.229980
2.100000, -0.612500, 0.679492, -1.483398, -69.000000, 16.600000, -37.299999, -250.129776, 250.129776, -250.129776, 988.229980
2.250000, -0.354102, 0.497656, -1.397266, -85.300003, 42.700001, -84.800003, -250.129776, 250.129776, -250.129776, 988.229980
2.400000, -6.440820, -30.022072, 7.397852, -50.700001, 76.900002, -74.099998, 218.106873, -106.961830, -54.763359, 988.229980
2.550000, -5.254102, -8.852539, -8.096484, -61.099998, 60.099998, -57.099998, -103.465652, -36.748093, 99.862595, 988.229980
2.700000, -4.957422, -9.866992, -11.532227, -58.599998, 43.599998, -39.900002, -86.969467, 67.480919, 69.610687, 988.229980
2.850000, -5.694336, -8.747266, -7.158594, -60.500000, 32.799999, -39.400002, -80.030533, 117.335876, 33.954197, 988.229980
3.000000, -7.101172, -9.847852, -6.957617, -61.099998, 27.500000, -50.000000, 23.641222, -12.175572, -21.603054, 988.239990
3.150000, -7.943359, -12.403125, -8.862109, -59.299999, 41.599998, -42.700001, 175.450378, -101.809158, -61.015266, 988.239990
