Time, Acc X, Acc Y, Acc Z, Mag X, Mag Y, Mag Z, Gyr X, Gyr Y, Gyr Z, Press
0.000000, 0.143555, 0.823047, 9.685157, 22.100000, -21.299999, -11.700000, -3.862595, -11.076336, 3.190840, 1006.130005
0.150000, 1.148438, 0.306250, 10.747461, 19.600000, -20.799999, -13.500000, -24.030535, -2.595420, 9.480916, 1006.130005
0.300000, 0.200977, 1.081445, 9.953125, 19.100000, -22.299999, -13.400000, -9.832061, -5.106870, 51.091602, 1006.119995
0.450000, -0.019141, 1.349414, 9.876563, 17.299999, -23.299999, -15.600000, -8.664123, 6.648855, 44.389313, 1006.119995
0.600000, 0.957031, 0.057422, 9.398047, 11.600000, -18.400000, -22.700001, -38.435116, 34.511452, -9.900764, 1006.119995
0.750000, 1.186719, 1.445117, 10.699610, 11.800000, -19.900000, -19.600000, -92.068703, 43.198475, 56.450382, 1006.119995
0.900000, 1.272852, 0.622070, 9.924415, 8.800000, -18.900000, -20.100000, -12.450381, -123.190842, 67.091606, 1006.119995
1.050000, 1.416406, 0.708203, 10.154101, 4.300000, -19.200001, -19.700001, 6.083970, -36.183205, 17.175573, 1006.109985
1.200000, 1.693945, 0.545508, 11.991602, 4.000000, -23.500000, -14.800000, 55.961834, 0.435115, 2.381679, 1006.109985
1.350000, 5.292383, 3.445312, 13.475000, 1.300000, -18.400000, -19.799999, -34.839695, 229.717560, -243.435120, 1006.109985
1.500000, 0.047852, -0.153125, -0.459375, 50.799999, -6.900000, 13.900000, -23.618320, 250.129776, -168.709930, 1006.109985
1.650000, -0.019141, -0.133984, -0.421094, 58.400002, 12.200000, 62.900002, 65.648857, 250.129776, -168.656494, 1006.099976
1.800000, 30.108204, 15.542188, -7.445704, -50.700001, 30.799999, 8.900000, -1.786260, 250.129776, -250.122131, 1006.099976
1.950000, -4.029102, 10.307227, 1.445117, 25.299999, -46.599998, 54.799999, 44.297710, -46.664124, -250.129776, 1006.090027
2.100000, -1.062305, 12.738086, 5.100976, -15.600000, -27.799999, 29.700001, -2.442748, 13.137404, 89.274811, 1006.090027
2.250000, -0.401953, 14.575586, 8.938672, -15.300000, -28.600000, 24.500000, -186.152664, -23.862595, -97.145035, 1006.090027
2.400000, 8.287890, 14.891407, 8.594141, 17.000000, -37.599998, 11.900000, -173.534348, 248.083969, -230.877869, 1006.090027
2.550000, 0.095703, -0.057422, -0.593359, 9.000000, -38.500000, 35.400002, 180.916031, -250.129776, 17.328245, 1006.090027
2.700000, 0.086133, -0.047852, -0.574219, 16.299999, -36.400002, 71.099998, 170.732819, -250.129776, 22.618320, 1006.080017
2.850000, 0.133984, -0.172266, -0.985742, 43.700001, -27.400000, 91.400002, 250.129776, -250.129776, 27.916031, 1006.070007
3.000000, 2.526562, 1.837500, -1.722656, 40.400002, -15.400000, 100.199997, 33.267174, -250.129776, -250.122131, 1006.070007
3.150000, -7.225586, -1.062305, -18.958790, 43.599998, 22.799999, 71.699997, 157.740463, -44.183205, -91.900764, 1006.070007
3.300000, -1.062305, -1.330274, -7.952930, 38.000000, 23.000000, 78.599998, -41.053436, -3.564885, 2.923664, 1006.070007
3.450000, -2.344727, -3.033789, -15.398633, 40.200001, 25.299999, 77.400002, 20.557251, 29.992367, -29.549618, 1006.070007
3.600000, -4.852149, -9.809570, -20.068945, 29.200001, 7.100000, 101.500000, -250.129776, 148.129776, 30.030535, 1006.070007
3.750000, 0.497656, 0.066992, -0.411523, 35.200001, -5.800000, 95.900002, -136.458008, 40.335876, -250.122131, 1006.080017
3.900000, 0.287109, 0.028711, -0.430664, 30.200001, 1.200000, 94.099998, -74.687019, 109.717560, -250.122131, 1006.080017
4.050000, 0.133984, -0.019141, -0.756055, 12.700000, 10.100000, 94.199997, 58.236641, 147.106873, -250.122131, 1006.070007
4.200000, -11.025001, -2.354297, -16.977736, 21.500000, -9.400000, -20.000000, 250.129776, -250.129776, -250.129776, 1006.070007
4.350000, 21.791601, 8.441016, -10.919726, -37.900002, -3.200000, 23.200001, 104.389313, -233.511444, -208.068695, 1006.070007
4.500000, 7.646680, -4.459766, -6.718359, -36.799999, 6.100000, 39.900002, 19.572519, 52.687023, 4.404580, 1006.070007
4.650000, 10.814453, -3.091211, -6.249414, -31.299999, -5.100000, 46.400002, -44.786259, -250.129776, 131.549622, 1006.070007
4.800000, 21.303516, -6.555664, -29.849806, -34.099998, 14.300000, 58.500000, 250.129776, -130.671753, 240.015274, 1006.070007
4.950000, -0.258398, 0.497656, -1.138867, 3.300000, 45.599998, 58.599998, 153.335876, -250.129776, -205.633591, 1006.080017
5.100000, -0.392383, 0.612500, -1.158008, 19.700001, 47.700001, 38.400002, -204.961838, -250.129776, -204.755722, 1006.070007
5.250000, -0.153125, 0.842188, -1.167578, 19.400000, 43.400002, 53.200001, -250.129776, -250.129776, -228.786255, 1006.070007
5.400000, 0.373242, 0.736914, -1.110156, 45.000000, 5.600000, 89.099998, -250.129776, -176.900757, -250.122131, 1006.070007
5.550000, -6.861914, -1.014453, -6.354688, 38.299999, 14.500000, 98.800003, 53.030533, 2.793893, 135.267181, 1006.070007
5.700000, -4.488477, -4.163086, -6.632226, 29.900000, -1.100000, 107.300003, -250.129776, 250.129776, 20.877863, 1006.059998
5.850000, -3.675000, -2.622266, -13.647265, 28.299999, -24.600000, 97.900002, -71.442749, -23.763359, -46.244274, 1006.070007
6.000000, -5.187109, -3.426172, -13.073047, 30.700001, -23.100000, 101.099998, 10.419847, 46.229008, -21.061069, 1006.070007
6.150000, -11.943750, 0.602930, -19.705275, 25.900000, 7.700000, 104.900002, 250.129776, 139.358780, -79.687019, 1006.070007
6.300000, -2.220313, 0.210547, -2.229883, 50.000000, -27.100000, 42.500000, -250.129776, -250.129776, -250.129776, 1006.080017
6.450000, -1.311133, -1.004883, -1.981055, -39.299999, 23.100000, 33.799999, 47.656490, -250.129776, -250.129776, 1006.080017
6.600000, 0.267969, -0.976172, -1.799219, 48.000000, 16.900000, 10.400000, 250.129776, -250.129776, -250.129776, 1006.080017
6.750000, -6.201562, -12.125587, 6.536523, -20.799999, 25.400000, -40.500000, -7.992366, 213.213745, -250.129776, 1006.080017
6.900000, 6.000586, -2.622266, 12.671094, -20.799999, 0.500000, -25.600000, 193.984726, 0.358779, -194.877869, 1006.080017
7.050000, 5.167969, 1.244141, 11.924609, -4.900000, -23.200001, -2.500000, -24.389313, -5.541985, -29.000000, 1006.080017
7.200000, 10.661328, 12.967773, 26.605469, 0.300000, -20.500000, -15.200000, -245.717560, 62.106869, -5.900764, 1006.080017
