Time, Acc X, Acc Y, Acc Z, Mag X, Mag Y, Mag Z, Gyr X, Gyr Y, Gyr Z, Press
0.000000, 0.756055, -0.095703, 9.503321, 6.400000, 37.799999, -34.900002, -0.137405, 0.748092, 0.641221, 1006.289978
0.150000, 0.803906, -0.114844, 9.484179, 6.400000, 37.799999, -34.400002, 0.045802, 0.526718, 0.748092, 1006.289978
0.300000, 0.756055, -0.105273, 9.532031, 6.200000, 37.799999, -34.400002, -0.045802, 0.786260, 0.740458, 1006.289978
0.450000, 0.803906, -0.133984, 9.522461, 6.400000, 38.000000, -34.700001, -0.198473, 0.618321, 0.610687, 1006.280029
0.600000, 0.794336, -0.105273, 9.522461, 6.200000, 37.799999, -34.700001, 0.251908, 0.725191, 0.709924, 1006.280029
0.750000, 0.708203, -0.047852, 9.512891, 6.400000, 38.000000, -34.599998, 0.083969, 0.870229, 0.717557, 1006.280029
0.900000, 0.679492, -0.028711, 9.503321, 6.200000, 37.799999, -34.599998, -0.007634, 1.435115, 0.526718, 1006.280029
1.050000, 0.516797, -0.191406, 9.512891, 6.900000, 37.799999, -34.099998, -0.984733, 1.076336, 2.091603, 1006.280029
1.200000, 0.794336, 0.000000, 9.541602, 6.900000, 37.299999, -33.700001, -0.381679, 0.564885, -0.816794, 1006.270020
1.350000, 0.430664, -0.334961, 9.800000, 7.600000, 37.000000, -33.599998, 8.343512, 15.801527, -6.244275, 1006.270020
1.500000, 0.229688, 0.354102, 9.024805, 10.400000, 33.000000, -32.099998, -28.793894, -5.748092, -15.114504, 1006.270020
1.650000, 0.401953, -0.669922, 9.771289, 14.400000, 29.600000, -31.799999, 8.083969, -1.496183, 5.061069, 1006.260010
1.800000, 0.622070, -0.172266, 9.675586, 20.400000, 25.400000, -31.400000, 17.152672, 1.511450, 6.687023, 1006.260010
1.950000, 0.784766, -0.612500, 9.436328, 20.100000, 26.200001, -34.700001, -7.198473, -22.763359, -23.709923, 1006.260010
2.100000, 0.813477, -0.861328, 9.752149, 17.400000, 31.600000, -39.500000, -37.099236, -15.038168, -49.595421, 1006.260010
2.250000, 1.894922, -3.866406, 7.503125, 1.900000, 49.599998, -44.099998, -14.480916, -177.809158, -22.946566, 1006.250000
2.400000, 2.526562, -4.593750, 8.106055, -3.500000, 60.099998, -38.700001, -96.862595, -22.946566, 25.587786, 1006.250000
2.550000, 4.699024, -6.373828, 5.943164, -10.200000, 66.500000, -33.700001, 35.755726, -234.419846, 35.839695, 1006.250000
